"LanguageType","language","Participant","ListUnique","ListOrder","TargetTrial","Item","ItemWithinScene","ItemScene","MannerVariant","SameMannerResponse","FirstTrial.SameMannerResponse"
"verb-framed","Basque","ba.10","3a","descending",9,"et_rl_ro_u_d_sp","35","rl","right",1,0
"verb-framed","Basque","ba.10","3a","descending",10,"et_hc_sp_l_r_sl","60","hc","right",1,0
"verb-framed","Basque","ba.10","3a","descending",11,"et_rl_sl_u_ju_d","51","rl","left",0,0
"verb-framed","Basque","ba.10","3a","descending",12,"et_tr_sp_l_sl_r","62","tr","left",1,0
"verb-framed","Basque","ba.12","3b","descending",1,"et_rl_sp_u_d_sl","71","rl","right",1,1
"verb-framed","Basque","ba.12","3b","descending",2,"et_hc_ro_l_r_sp","24","hc","right",1,1
"verb-framed","Basque","ba.12","3b","descending",3,"et_tr_ro_l_sp_r","26","tr","left",1,1
"verb-framed","Basque","ba.12","3b","descending",4,"et_hc_ju_r_ro_l","12","hc","left",1,1
"verb-framed","Basque","ba.12","3b","descending",5,"et_tr_ju_r_l_ro","9","tr","right",1,1
"verb-framed","Basque","ba.12","3b","descending",6,"et_hc_sl_l_ju_r","39","hc","left",1,1
"verb-framed","Basque","ba.12","3b","descending",7,"et_rl_ju_u_ro_d","15","rl","left",1,1
"verb-framed","Basque","ba.12","3b","descending",8,"et_tr_sl_l_r_ju","40","tr","right",0,1
"verb-framed","Basque","ba.12","3b","descending",9,"et_rl_ro_d_u_sp","20","rl","right",0,1
"verb-framed","Basque","ba.12","3b","descending",10,"et_hc_sp_r_l_sl","66","hc","right",0,1
"verb-framed","Basque","ba.12","3b","descending",11,"et_rl_sl_d_ju_u","36","rl","left",1,1
"verb-framed","Basque","ba.12","3b","descending",12,"et_tr_sp_r_sl_l","68","tr","left",1,1
"verb-framed","Catalan","ca.1","1a","ascending",1,"et_tr_sp_l_ro_r","61","tr","left",1,1
"verb-framed","Catalan","ca.1","1a","ascending",2,"et_rl_sl_u_sp_d","53","rl","left",1,1
"verb-framed","Catalan","ca.1","1a","ascending",3,"et_hc_sp_l_r_ro","59","hc","right",1,1
"verb-framed","Catalan","ca.1","1a","ascending",4,"et_rl_ro_u_d_ju","33","rl","right",0,1
"verb-framed","Catalan","ca.1","1a","ascending",5,"et_tr_sl_r_l_sp","48","tr","right",1,1
